Url,Response,Final URL
https://github.com/darrenjw/ebi-metagenomics-stats,200,https://github.com/darrenjw/ebi-metagenomics-stats
https://zenodo.org/doi/10.5281/zenodo.10694756,200,https://zenodo.org/records/10694756
https://zenodo.org/record/7278067,200,https://zenodo.org/records/7278068
https://manchester.ac.uk/ifiss/tifiss.html,TooManyRedirectsError
http://www.manchester.ac.uk/ifiss/,404,https://personalpages.manchester.ac.uk/staff/david.silvester/ifiss/
https://github.com/matthew-gaddes/VolcNet,200,https://github.com/matthew-gaddes/VolcNet
https://comet.nerc.ac.uk/gwfm_catalogue/,403,https://comet.nerc.ac.uk/gwfm_catalogue/
https://github.com/ozgurasarstat/robjm,200,https://github.com/ozgurasarstat/robjm
http://spindynamics.org,200,https://spindynamics.org/
https://zenodo.org/record/3762041,200,https://zenodo.org/records/4252506
https://zenodo.org/record/4252506,200,https://zenodo.org/records/4252506
https://zenodo.org/record/4155209,200,https://zenodo.org/records/4155210
https://zenodo.org/record/4736677,200,https://zenodo.org/records/4736678
https://zenodo.org/record/4155210,200,https://zenodo.org/records/4155210
https://github.com/crossminer/scava/tree/master/crossflow,200,https://github.com/crossminer/scava/tree/master/crossflow
https://zenodo.org/record/4288840,200,https://zenodo.org/records/4288841
https://zenodo.org/record/4288841,200,https://zenodo.org/records/4288841
http://psrg.org.uk,200,https://psrg.org.uk/
http://www.tractor-mri.org.uk,200,https://www.tractor-mri.org.uk/
http://www.coastalme.org.uk,ConnectionError
https://github.com/ahadjigeorghiou/TESSPositionalProbability,200,https://github.com/ahadjigeorghiou/TESSPositionalProbability
https://github.com/lukasturcani/stk,200,https://github.com/lukasturcani/stk
https://arxiv.org/abs/1801.05490,200,https://arxiv.org/abs/1801.05490
https://github.com/andrewstephenmason,200,https://github.com/andrewstephenmason
https://github.com/GenomeRIK/tama,200,https://github.com/GenomeRIK/tama
http://www.ark-genomics.org/tools/meta4,ConnectionError
https://alphagenes.roslin.ed.ac.uk/wp/software/alphaplantimpute/,TooManyRedirectsError
https://github.com/evotools/hapbin,200,https://github.com/evotools/hapbin
http://jensembl.sourceforge.net,200,https://jensembl.sourceforge.net/
https://github.com/tmichoel/krux,200,https://github.com/tmichoel/krux
https://github.com/lingfeiwang/findr,200,https://github.com/lingfeiwang/findr
https://github.com/andrewstephenmason,200,https://github.com/andrewstephenmason
https://github.com/GenomeRIK/tama,200,https://github.com/GenomeRIK/tama
http://www.alphagenes.roslin.ed.ac.uk/alphasuite-softwares/,TooManyRedirectsError
https://github.com/eb00/lemon-tree,200,https://github.com/erbon7/lemon-tree
http://tmichoel.github.io/glmnat/,TooManyRedirectsError
https://github.com/QCrBox/QCrBox,200,https://github.com/QCrBox/QCrBox
https://github.com/CSTR-Edinburgh/ophelia,200,https://github.com/CSTR-Edinburgh/ophelia
https://github.com/CSTR-Edinburgh/Ossian,200,https://github.com/CSTR-Edinburgh/Ossian
https://github.com/CSTR-Edinburgh/waffler,200,https://github.com/CSTR-Edinburgh/waffler
https://github.com/CSTR-Edinburgh/snickery,200,https://github.com/CSTR-Edinburgh/snickery
https://github.com/CSTR-Edinburgh/merlin,200,https://github.com/CSTR-Edinburgh/merlin
https://github.com/JIC-CSB/kilombo,200,https://github.com/JIC-CSB/kilombo
https://github.com/ma-tech,200,https://github.com/ma-tech
http://ska-sdp.org,403,https://ska-sdp.org/
http://ska-sdp.org,403,https://ska-sdp.org/
http://ska-sdp.org,403,https://ska-sdp.org/
https://github.com/RingBDStack/HAWK,200,https://github.com/RingBDStack/HAWK
https://ieeexplore.ieee.org/document/9353275,200,https://ieeexplore.ieee.org/document/9353275
https://github.com/Vectorpack/Vectorpack_cpp,200,https://github.com/Vectorpack/Vectorpack_cpp
http://sites.google.com/site/fdudbridge/software,404,https://accounts.google.com/ServiceLogin?passive=1209600&osid=1&continue=https://sites.google.com/site/fdudbridge/software&followup=https://sites.google.com/site/fdudbridge/software
https://opticapublishing.figshare.com/articles/software/codes_of_Multiple-measurement-MPF_rar/13200503,200,https://opticapublishing.figshare.com/articles/software/codes_of_Multiple-measurement-MPF_rar/13200503
